No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
5;7;8;13;17;21;25;28;31;34;38;39;41;42;44;50;56;57;60;66
1;2;3;10;15;17;23;26;28;31;32;37;39;48;49;55;56;60;62;67
1;2;4;5;12;18;23;24;30;32;33;34;36;41;47;51;55;59;60;66
2;7;14;16;20;26;28;29;31;33;39;43;48;49;53;54;58;61;66;70
5;6;7;10;11;18;19;37;38;40;41;47;48;49;51;55;57;60;63;69
1;2;10;14;20;25;26;32;34;37;38;39;41;42;46;52;53;58;65;70
2;7;9;11;21;23;28;30;40;42;47;48;52;54;55;56;66;67;68;69
4;5;8;12;14;17;20;22;25;28;31;34;39;45;48;51;55;56;68;69
3;5;8;12;21;22;26;31;32;33;34;46;47;50;51;59;64;67;68;69
9;10;14;17;19;22;28;29;33;35;38;42;43;44;46;47;50;54;55;64
3;18;20;25;26;30;34;42;44;49;50;51;52;53;57;59;62;66;67;70
5;8;15;22;23;24;26;28;29;37;39;42;45;49;54;55;58;61;62;69
3;8;12;14;19;26;35;36;39;40;42;44;45;46;55;58;60;61;62;66
1;9;14;17;19;20;23;27;33;37;39;40;45;49;53;54;59;65;66;70
5;7;8;9;12;16;17;19;23;31;35;37;39;44;46;51;52;61;63;66
1;4;7;9;12;14;16;19;31;46;47;48;50;51;52;59;62;63;65;70
2;5;11;14;19;21;23;24;25;37;38;43;46;47;49;51;56;58;61;69
1;5;10;11;16;17;18;21;22;28;36;38;42;44;48;51;54;57;64;65
4;11;20;21;24;25;31;34;39;41;42;43;45;47;48;49;56;62;64;70
1;6;7;12;13;15;16;18;22;25;27;28;29;33;41;49;57;62;68;69
4;13;17;20;22;24;31;33;34;36;39;41;43;45;46;47;51;56;61;62
1;2;3;5;12;13;16;19;25;27;34;40;50;58;60;63;65;67;68;70
1;2;5;6;11;13;14;15;24;29;32;34;35;36;38;43;45;64;65;69
2;10;20;22;23;24;26;29;34;35;36;39;41;46;52;54;55;61;66;69
3;12;13;19;23;29;31;32;33;34;35;36;38;47;50;57;58;59;65;67
1;2;4;6;7;10;16;24;25;30;31;39;41;44;50;52;53;56;61;66
4;14;24;25;28;29;30;33;34;38;39;41;42;52;58;60;63;64;66;69
6;7;11;12;13;15;16;18;19;21;23;32;37;39;40;42;64;65;66;67
2;6;10;14;26;31;34;38;41;43;45;47;51;52;53;60;61;64;67;68
2;4;10;12;13;14;15;20;21;22;38;39;40;45;47;50;63;65;66;67
3;5;14;20;23;25;28;33;34;37;41;43;45;49;55;57;61;67;69;70
2;11;12;18;26;28;30;38;44;50;55;56;57;58;59;62;64;65;69;70
1;3;6;7;14;19;23;24;25;26;27;30;34;41;44;46;53;60;63;67
3;19;20;21;22;24;26;27;31;34;35;42;45;48;53;55;63;64;67;70
2;3;6;8;16;17;19;22;25;27;32;37;43;49;52;57;63;64;66;70
1;3;8;9;16;17;19;20;21;26;36;40;44;52;53;59;60;62;63;65
1;3;5;9;15;18;19;20;22;24;29;34;39;43;48;49;52;55;59;61
2;11;12;13;25;27;29;33;41;42;45;46;49;50;52;53;55;56;62;66
5;8;11;16;25;28;32;35;37;38;39;42;44;50;51;56;58;62;64;65
6;7;12;17;25;26;28;31;34;35;39;40;41;45;52;55;56;67;68;69
3;5;6;15;16;23;25;26;27;33;37;40;43;44;45;48;50;52;53;59
11;12;13;16;19;21;22;24;26;28;33;34;36;37;39;47;58;63;67;70
3;4;8;17;23;26;28;31;32;34;38;41;46;47;49;51;53;57;62;65
3;4;10;14;15;17;29;30;34;36;47;49;50;51;52;55;58;59;67;68
5;9;11;14;20;23;28;30;32;34;36;40;42;47;48;55;56;64;65;69
4;5;6;13;19;26;30;31;36;40;42;43;45;46;51;53;59;60;66;70
1;3;8;12;16;17;18;27;32;33;41;42;43;45;53;54;55;59;63;66
6;7;15;23;25;26;27;28;32;33;34;38;40;42;44;45;47;50;52;55
2;3;6;9;10;16;24;26;33;35;36;37;38;50;53;54;58;59;61;67
3;8;11;16;20;25;26;33;35;41;43;49;51;57;58;60;64;65;67;68
4;13;14;16;20;24;26;29;32;42;45;47;52;53;54;57;58;60;63;69
6;8;10;12;15;18;22;24;25;26;35;37;38;44;49;52;58;61;62;65
3;4;5;7;11;13;15;17;21;22;29;37;43;45;49;50;54;56;66;70
4;6;7;9;16;18;21;22;23;25;26;27;31;33;34;39;50;54;58;67
10;19;21;23;27;29;33;34;35;38;41;42;48;49;50;51;57;59;64;65
2;3;19;22;26;27;30;34;36;41;44;46;52;55;56;58;61;64;66;67
1;6;8;11;21;22;26;28;32;38;39;42;43;54;60;61;66;68;69;70
1;7;14;15;16;17;21;23;26;27;38;40;44;48;52;53;57;62;65;69
2;3;6;11;17;22;25;26;28;29;33;35;38;39;48;52;53;62;64;70
11;12;16;18;19;24;30;39;42;46;49;50;52;55;57;58;59;60;65;69
14;21;22;25;27;28;33;34;39;40;41;44;46;52;55;58;62;64;65;66
1;7;11;18;21;23;30;33;35;38;39;51;53;54;56;57;61;62;65;69
4;8;10;13;21;24;26;34;35;38;40;44;46;50;57;58;63;66;69;70
1;8;10;11;14;18;21;31;32;33;34;36;37;44;45;48;53;57;60;69
4;6;11;17;18;20;22;24;30;32;44;47;52;54;55;56;58;62;64;70
5;8;13;14;15;16;18;21;24;26;30;31;33;41;53;54;59;63;66;69
1;3;10;11;14;23;26;27;30;31;32;33;37;38;45;50;52;68;69;70
1;5;7;12;14;18;19;21;22;23;25;26;28;37;40;46;51;54;62;63
1;2;6;21;22;32;33;34;35;37;39;41;45;49;52;53;55;57;64;68
4;7;8;10;13;14;17;26;28;34;37;38;39;41;47;50;54;55;64;69
2;8;15;19;21;24;28;29;32;33;35;42;54;56;57;59;63;67;68;69
6;8;16;17;18;19;24;25;26;27;29;32;42;43;44;47;51;53;55;70
1;7;9;12;13;17;19;33;34;37;40;42;46;50;54;55;61;62;69;70
2;8;10;19;21;23;24;26;27;28;39;40;41;46;49;50;56;58;60;63
1;2;6;12;14;17;19;20;25;28;31;32;33;40;42;52;55;62;66;67
3;19;22;23;28;32;33;44;45;47;48;53;54;55;60;61;64;66;68;69
2;6;8;13;14;17;18;19;23;24;26;31;35;39;41;47;48;51;55;66
1;12;15;19;20;29;32;35;44;46;48;51;52;55;56;60;61;63;65;68
2;5;6;9;13;15;16;25;26;27;28;42;44;49;53;55;57;60;65;70
7;8;10;11;14;18;21;22;31;34;36;37;43;50;51;61;62;63;65;70
2;5;6;8;10;16;18;25;27;28;33;37;38;43;44;49;52;54;56;61
5;7;11;12;14;18;21;22;26;32;39;40;49;50;52;54;56;60;62;68
4;5;22;23;24;25;26;28;32;33;40;41;43;48;52;55;58;59;63;70
8;9;14;23;29;30;31;32;33;34;35;38;47;53;55;61;64;65;68;69
3;4;8;19;24;28;30;35;37;39;40;41;45;50;52;55;59;61;62;64
2;8;9;11;19;23;24;28;29;30;32;41;48;49;50;51;53;55;61;64
4;5;6;11;20;33;34;35;36;41;46;48;49;56;57;59;60;62;68;70
3;5;11;24;26;28;30;38;39;40;42;44;49;51;52;54;56;57;68;70
7;10;12;15;17;24;30;31;33;37;38;39;45;57;59;60;61;62;65;67
3;7;18;21;24;25;28;32;34;41;42;46;47;53;54;56;60;62;64;67
2;3;7;10;11;14;20;23;25;27;33;35;37;42;44;47;58;60;63;66
4;6;7;9;11;19;22;23;24;26;32;34;36;42;48;49;52;60;63;65
2;3;6;7;9;25;28;33;36;38;39;40;46;50;51;54;56;58;63;65
1;8;12;13;16;19;27;30;32;33;37;40;42;43;45;48;56;62;67;70
1;2;3;6;8;13;20;21;23;33;35;42;45;46;63;65;66;67;69;70
1;6;11;13;16;20;24;31;34;35;36;41;43;49;51;60;61;63;66;70
1;3;6;7;16;21;22;28;31;34;36;37;42;44;49;55;59;61;63;66
1;5;19;20;23;26;27;28;31;32;40;41;46;48;51;52;54;61;63;70
1;2;3;5;11;14;15;17;24;29;42;48;51;53;55;57;58;61;65;66
1;4;9;12;13;15;17;31;34;37;38;39;41;42;43;48;60;66;67;69
1;5;9;10;11;13;16;19;20;22;26;27;39;41;45;46;52;55;59;68
2;5;6;9;14;18;20;31;37;47;49;51;53;55;57;59;62;64;69;70
8;9;11;14;19;23;27;29;30;33;34;41;42;43;45;58;61;64;66;70
1;4;9;13;16;17;20;22;24;31;39;40;51;55;60;63;65;68;69;70
2;7;9;15;18;22;24;25;26;31;36;45;46;47;54;58;64;66;69;70
3;5;6;12;20;23;24;36;37;39;42;43;49;50;52;64;65;67;68;70
2;9;15;17;18;21;23;24;26;28;32;33;36;38;45;53;59;61;66;68
8;12;13;14;16;21;23;25;27;30;32;34;35;36;39;42;44;50;51;65
5;17;19;21;23;26;29;30;33;37;39;49;51;52;55;58;62;63;67;69
5;8;13;18;19;22;23;31;37;40;43;46;47;52;53;54;55;57;58;62
1;2;4;7;11;15;16;22;27;29;34;36;39;43;46;52;54;55;61;62
2;6;15;21;23;26;29;30;33;40;43;45;49;50;52;55;65;68;69;70
4;11;21;23;25;29;30;33;36;42;44;48;50;51;53;59;61;63;66;68
1;7;14;15;19;21;31;36;41;42;46;47;49;50;54;55;57;58;66;70
1;2;5;11;13;23;24;31;32;33;34;37;38;40;47;48;51;61;63;66
1;6;8;9;11;14;15;20;22;24;25;27;33;40;44;48;53;54;59;67
2;17;18;19;20;24;25;28;31;33;36;39;40;43;46;49;55;62;65;66
6;8;9;12;13;19;20;22;23;31;32;33;36;39;41;48;51;55;63;68
9;11;12;14;16;19;23;27;28;30;31;35;37;38;48;56;57;61;63;66
3;4;5;7;17;20;21;27;31;32;38;50;51;52;57;58;60;65;67;68
1;3;5;7;11;14;15;18;20;22;23;29;31;34;42;46;52;56;65;69
13;14;15;16;20;21;22;28;29;30;42;44;45;49;50;58;62;65;68;69
1;3;8;9;10;14;20;23;29;30;31;34;35;39;44;47;48;54;55;66
10;12;13;15;25;30;31;32;36;37;46;48;55;59;62;64;66;68;69;70
8;9;12;18;20;25;28;31;39;43;45;47;48;49;50;54;56;64;65;68
3;4;7;13;14;18;22;25;27;29;30;35;38;39;41;47;49;56;58;62
7;8;11;14;22;23;29;30;35;44;46;50;51;54;58;59;62;65;66;69
1;3;14;16;23;27;29;31;32;38;44;45;46;47;52;57;60;64;65;68
3;7;8;16;21;22;28;29;32;33;36;45;46;47;49;53;55;58;59;62
5;9;17;18;19;21;24;30;35;36;44;46;48;49;53;59;63;65;67;68
7;9;14;15;16;26;27;33;37;42;44;51;52;53;54;62;64;65;67;69
1;4;6;12;13;15;16;23;25;36;38;42;43;46;49;50;53;56;57;68
2;9;13;18;22;26;29;32;38;46;50;51;52;59;61;62;63;65;67;70
6;12;15;16;19;21;23;25;30;31;32;34;41;42;46;49;50;53;56;63
1;4;6;11;13;15;18;19;32;34;40;41;44;50;53;55;56;60;63;66
2;6;7;8;9;11;12;31;35;44;49;53;54;55;56;58;60;62;66;69
2;3;4;12;14;16;17;21;22;35;37;38;40;46;47;55;56;60;63;68
1;2;4;9;12;20;25;29;30;31;32;33;36;37;43;44;45;48;56;61
3;4;6;7;12;16;22;23;27;31;32;38;45;49;52;58;61;62;69;70
3;10;12;17;19;20;22;24;25;29;34;36;40;42;50;56;60;62;65;68
1;3;5;8;10;13;15;20;22;24;27;31;33;35;36;43;47;50;56;58
2;18;24;25;27;28;30;32;37;40;44;49;51;53;54;55;58;64;65;70
3;5;8;13;20;26;28;32;35;38;44;47;48;49;50;59;62;63;65;67
1;3;8;9;12;17;20;23;30;33;41;42;46;47;52;55;56;57;65;69
3;4;7;11;13;14;27;30;32;33;35;38;41;54;55;58;59;60;66;68
8;9;11;14;20;26;27;30;32;46;49;51;55;60;61;63;65;66;69;70
3;4;14;15;17;18;26;32;33;37;42;49;51;52;56;61;62;63;65;66
8;9;12;13;19;20;21;22;28;40;41;43;45;46;47;48;49;56;59;60
2;4;6;7;9;12;22;23;24;31;34;40;41;52;55;57;60;62;65;69
5;6;9;10;11;14;17;19;22;26;27;28;43;44;49;50;55;59;62;65
2;4;7;9;19;21;24;30;32;33;35;36;55;56;58;59;60;63;64;68
3;6;8;9;14;18;22;23;26;37;38;41;42;52;53;57;67;68;69;70
5;8;9;16;17;18;22;23;30;34;35;42;44;48;50;52;54;56;63;66
7;11;17;22;23;24;34;35;37;40;42;44;45;48;51;53;58;64;66;67
1;5;14;16;17;19;22;29;32;34;35;38;41;43;44;49;56;61;64;69
4;8;9;11;13;16;17;19;20;21;23;25;28;39;44;52;56;58;59;60
1;5;14;18;24;27;30;33;35;40;43;46;52;53;57;63;64;66;67;69
1;2;6;12;16;29;30;33;34;40;44;49;50;60;62;63;64;67;68;70
1;3;7;8;11;14;15;17;18;27;35;46;47;52;57;59;60;65;66;67
1;7;12;15;17;19;21;24;27;30;31;32;33;37;38;39;45;57;62;67
1;4;12;13;15;17;25;30;35;39;41;43;44;45;51;56;64;65;66;68
4;5;6;7;8;12;16;19;21;27;34;37;39;40;44;52;64;67;68;70
2;5;9;16;25;30;32;35;43;44;45;46;47;48;51;54;62;63;67;68
4;8;16;25;35;38;39;42;44;46;47;53;54;55;59;61;63;64;68;69
2;3;5;7;8;12;15;21;22;38;45;46;47;51;56;61;63;65;68;69
1;7;14;16;18;19;30;34;36;43;46;49;50;52;53;58;63;66;67;68
1;4;10;11;18;23;24;25;26;27;36;38;40;41;42;44;51;52;64;70
4;6;11;16;18;19;20;29;30;42;43;45;49;50;51;52;53;55;62;65
5;7;12;13;17;20;23;24;27;29;32;34;39;43;44;45;55;57;60;62
7;8;9;15;16;17;20;23;24;25;27;32;35;36;43;46;47;48;65;69
2;5;13;16;20;25;29;34;39;41;42;44;45;47;56;57;60;64;67;69
2;5;6;12;14;19;23;28;31;47;51;53;57;60;61;62;63;64;69;70
2;13;17;23;32;33;35;36;37;40;44;49;51;61;62;63;64;65;67;70
1;5;6;7;16;17;18;21;29;34;37;38;39;44;50;55;60;61;64;66
2;6;7;9;10;11;19;20;38;41;45;47;49;50;53;54;57;59;65;67
5;13;15;17;20;25;29;40;43;44;45;46;54;58;61;62;63;65;67;70
3;6;19;20;23;29;30;31;33;42;43;47;48;56;58;´59;61;62;67;70
4;7;9;17;18;21;26;27;31;35;37;39;48;50;55;57;59;63;65;69
4;5;7;9;11;12;15;17;22;29;34;42;47;51;54;59;60;62;68;69
2;3;6;14;19;20;24;27;31;35;38;40;42;44;59;60;61;64;68;69
1;3;6;14;20;22;30;31;43;45;46;47;54;55;56;57;60;62;67;68
7;9;17;19;22;23;25;26;30;34;38;40;42;45;46;58;60;63;64;70
11;14;20;21;23;25;30;32;35;41;45;50;54;56;60;61;63;64;67;70
4;5;12;14;15;18;23;32;33;35;37;43;48;53;54;57;66;67;68;69
1;10;11;12;16;17;18;23;25;32;36;37;40;42;44;52;58;59;64;67
2;4;12;14;15;17;18;21;27;28;29;31;32;39;46;50;65;67;68;69
6;8;10;16;18;19;22;26;29;33;34;40;43;45;49;55;61;63;65;69
6;9;11;14;21;26;31;32;33;41;43;45;46;49;59;61;63;64;67;70
1;4;7;15;16;18;19;25;27;28;29;32;41;42;43;44;48;55;57;60
6;10;13;14;18;19;23;25;26;31;32;33;42;43;46;47;59;64;65;66
1;4;6;7;10;16;19;28;33;43;45;48;53;54;55;57;60;63;66;67
4;5;9;18;19;21;23;30;31;34;35;38;44;45;46;49;51;54;60;65
2;5;7;10;15;20;21;24;25;26;35;48;50;51;55;56;66;67;68;70
3;13;15;17;20;23;28;30;35;40;43;44;47;51;61;63;64;65;66;67
2;5;6;17;21;22;30;35;41;42;45;48;52;55;57;61;65;66;69;70
6;13;14;16;24;25;26;27;28;39;42;43;44;45;47;48;51;67;69;70
1;15;17;19;21;22;26;28;29;30;32;33;37;43;44;47;52;60;62;69
2;7;8;10;12;18;24;27;28;30;34;36;39;48;49;52;53;61;63;65
6;10;14;15;18;19;23;30;32;33;38;41;43;47;51;53;54;59;60;69
2;4;6;8;15;17;21;22;24;25;30;32;36;42;49;56;59;60;61;68
2;4;5;6;9;12;16;20;22;28;32;33;46;49;51;54;61;65;66;67
8;14;16;19;20;28;35;39;41;48;53;54;56;62;63;64;67;68;69;70
1;11;15;20;24;28;29;30;34;35;36;38;40;41;48;49;52;60;61;66
2;4;5;6;8;9;15;24;28;36;37;39;41;44;46;50;53;62;67;68
2;9;12;21;26;27;38;41;43;45;47;52;54;55;58;59;60;61;62;69
6;9;10;11;14;15;17;22;24;27;31;39;42;43;44;49;50;56;62;64
1;2;4;7;16;17;23;25;28;33;40;43;45;49;53;56;58;60;66;70
1;3;5;9;11;12;14;15;17;20;26;27;41;42;44;48;51;52;57;70
5;22;25;27;29;30;31;32;33;36;39;42;47;53;54;55;57;59;60;65
5;6;8;13;17;18;19;29;38;39;41;42;45;46;48;49;60;61;66;67
2;3;7;10;13;16;23;24;25;27;32;36;37;41;50;53;55;56;62;68
5;7;9;16;20;22;24;28;32;33;34;42;43;50;53;61;62;67;68;70
6;7;13;14;17;19;22;25;29;39;49;51;52;53;55;56;59;67;68;69
9;15;21;25;26;27;29;35;37;39;44;45;50;54;55;56;57;61;64;67
1;7;9;16;17;20;24;29;31;33;35;36;41;43;48;49;53;57;60;62
3;8;12;17;20;21;23;26;28;29;32;33;39;43;48;51;52;55;61;70
2;11;12;18;20;25;27;30;36;48;49;50;55;56;58;61;67;68;69;70
1;3;4;7;8;16;18;20;29;35;37;39;40;48;50;57;59;62;63;64
3;14;17;23;24;26;28;29;30;33;35;37;47;48;49;54;55;56;63;67
4;5;6;7;8;10;32;34;35;38;39;42;45;53;57;58;61;65;67;70
1;2;6;8;11;16;21;22;25;36;40;41;44;49;50;53;55;56;57;65
11;12;14;16;17;20;22;28;33;41;42;44;46;50;51;52;53;55;57;60
2;5;6;12;15;18;19;21;22;27;32;34;40;46;49;52;54;55;62;70
1;2;3;9;10;15;20;22;33;39;40;42;43;49;52;56;61;68;69;70
4;6;10;13;17;20;22;25;26;29;39;41;54;55;61;62;66;68;69;70
6;12;14;15;18;19;22;25;33;39;41;43;44;47;49;50;58;61;62;67
7;12;13;14;22;24;27;30;31;32;34;35;42;45;48;55;58;62;65;67
1;2;3;9;11;12;13;14;15;18;29;30;43;52;60;62;63;64;67;70
2;4;5;10;11;12;17;18;19;21;22;28;30;33;36;41;50;55;59;68
3;6;10;12;13;17;18;23;29;32;33;36;40;41;49;51;52;53;60;69
4;5;9;11;13;16;20;23;24;25;26;27;39;47;52;56;63;64;68;70
5;10;11;12;13;17;19;20;23;24;26;30;35;42;48;52;62;63;64;68
4;8;11;12;20;22;39;40;43;45;46;48;49;54;59;61;62;64;67;70
3;4;5;7;10;14;16;22;23;24;32;39;41;50;51;52;55;58;64;69
8;9;11;12;13;27;29;37;41;43;45;48;52;53;54;61;62;64;67;68
2;6;19;20;23;25;29;30;35;37;46;54;56;57;60;64;65;67;68;69
1;8;9;11;17;21;24;25;27;31;33;41;44;46;47;50;54;61;63;67
5;8;10;14;21;23;24;25;26;29;32;34;36;47;58;60;61;64;67;70
7;11;13;15;16;18;21;25;26;30;32;33;36;38;45;56;57;58;63;70
4;5;7;14;16;19;22;31;32;34;38;46;47;51;54;59;62;63;67;70
3;10;14;16;19;20;23;24;29;31;33;34;35;42;46;51;56;59;67;68
3;5;6;13;14;16;18;21;26;30;31;42;45;52;54;57;59;61;64;69
1;2;4;10;20;21;24;33;35;37;38;40;41;44;51;55;58;65;67;70
6;12;14;17;18;24;27;28;35;36;41;42;47;53;56;57;60;66;67;70
2;3;9;10;12;16;20;21;26;28;29;31;32;34;49;52;60;62;64;70
1;3;14;15;17;18;22;28;30;31;34;39;42;43;46;57;66;67;68;69
3;8;11;12;14;16;23;33;35;36;44;45;46;51;52;58;59;62;64;67
1;4;6;8;14;20;23;28;30;32;37;41;43;45;47;54;58;59;62;70
3;12;14;16;19;20;26;29;32;36;39;40;43;46;48;49;56;62;65;70
1;5;8;17;18;19;21;27;28;31;34;45;46;49;54;58;62;65;66;68
10;13;15;20;26;27;34;39;44;48;50;54;56;58;62;64;66;67;68;69
3;4;7;9;12;15;17;20;21;23;24;30;49;53;56;57;58;62;63;66
3;12;15;17;20;24;26;28;29;30;36;39;43;45;47;49;50;64;66;67
4;14;18;19;22;23;29;33;34;36;38;39;42;49;54;55;57;60;67;70
7;13;14;17;22;23;24;29;31;34;40;41;43;44;45;53;57;59;63;64
2;3;6;11;12;18;20;22;26;28;31;35;36;41;42;47;53;62;66;69
2;7;11;13;23;27;29;32;34;35;37;39;45;49;52;53;55;61;66;67
5;6;10;13;15;18;22;26;30;32;34;35;36;48;49;50;59;63;66;69
5;6;8;16;18;27;29;35;37;39;40;45;46;48;54;56;58;61;65;68
2;5;7;20;21;22;23;26;31;34;39;43;52;53;57;59;60;64;69;70
1;2;4;6;7;10;11;26;27;39;43;46;49;55;56;57;60;64;66;67
4;6;9;10;19;20;23;29;31;32;33;37;38;44;47;52;56;61;63;66
2;3;4;8;11;17;18;28;32;33;39;41;47;49;50;53;55;58;62;66
1;5;7;9;14;18;27;31;32;34;37;40;41;44;45;46;53;56;61;62
4;8;9;12;14;23;24;35;38;42;43;47;54;55;56;57;59;60;63;65
4;11;14;16;27;28;29;30;35;36;37;48;49;51;53;59;62;65;66;67
12;16;18;25;29;30;31;32;37;38;40;42;43;47;48;54;56;58;64;65
2;4;11;12;18;21;28;32;35;36;38;44;47;49;50;59;63;65;67;69
5;6;15;20;22;26;29;30;39;41;42;47;51;53;55;56;62;63;65;68
7;13;14;22;24;28;29;34;35;36;40;44;45;48;50;51;53;59;61;66
1;7;15;16;18;22;25;27;28;29;34;40;44;52;53;59;61;66;69;70
1;7;19;20;22;24;29;30;34;39;42;46;47;48;50;52;56;57;67;70
1;3;8;11;12;14;15;21;24;25;34;36;37;39;41;49;56;57;63;69
5;10;11;12;14;15;16;25;31;32;36;38;44;47;51;57;59;60;67;69
1;2;5;10;12;13;15;16;21;27;30;33;38;46;47;48;49;58;65;70
1;5;7;8;12;14;19;25;31;35;36;39;43;44;45;50;52;53;55;64
2;5;11;12;16;21;27;30;31;35;37;41;52;53;55;60;61;65;68;69
2;5;11;14;16;20;24;27;32;37;39;40;47;52;54;59;60;61;62;63
9;10;13;14;18;24;27;30;38;41;45;48;51;52;54;56;60;63;64;65
2;4;6;7;9;12;20;21;26;28;29;35;40;43;52;59;61;66;67;70
6;8;16;17;19;20;25;26;29;30;37;39;45;51;52;55;60;63;66;67
3;4;10;18;20;21;26;31;34;36;42;48;49;54;56;58;64;68;69;70
1;2;5;6;7;10;16;20;21;24;26;27;30;36;41;47;50;54;55;68
1;3;4;6;15;20;22;24;26;32;33;39;41;45;55;57;59;62;68;70
2;14;20;21;22;33;34;35;41;42;43;47;48;49;50;54;57;59;60;66
6;7;13;15;18;19;20;21;27;29;33;40;41;43;46;48;53;54;61;64
5;6;10;14;17;21;25;26;27;28;29;33;38;42;43;46;49;57;64;70
3;12;14;18;20;21;22;26;36;38;43;46;47;48;53;55;56;57;60;68
5;8;12;17;19;20;21;24;28;30;32;33;35;36;37;49;50;53;66;70
1;11;20;24;26;27;36;39;40;42;44;46;52;55;56;59;60;65;68;70
2;4;10;14;15;18;22;23;28;31;32;48;49;51;52;54;56;60;65;66
2;9;13;19;21;25;27;31;32;33;37;39;40;41;46;53;60;61;62;65
1;3;4;6;7;15;17;20;23;27;29;37;40;48;52;54;57;58;61;62
3;4;5;7;8;16;19;21;22;23;27;30;47;48;50;56;64;66;69;70
1;3;8;14;16;20;31;32;36;37;40;41;47;55;56;60;64;65;68;70
2;10;11;13;14;18;30;33;34;36;38;47;49;55;61;62;63;65;68;69
5;6;8;21;23;24;28;30;32;33;36;40;46;48;49;52;57;61;63;65
3;4;7;13;16;24;30;31;34;40;41;42;47;49;56;61;63;65;68;70
4;5;13;15;16;17;21;25;26;28;29;31;33;37;43;53;58;59;60;62
1;5;11;12;21;28;34;36;38;40;41;44;45;50;51;58;59;65;68;70
1;7;12;13;16;23;25;26;27;28;30;38;42;45;50;52;59;60;62;66
3;4;7;10;12;14;18;20;22;37;38;42;46;47;48;53;54;59;60;65
1;5;6;8;11;13;14;18;22;24;33;35;43;44;56;61;63;65;66;68
1;6;7;10;16;17;18;22;26;28;29;34;35;36;47;51;53;61;64;65
2;3;8;12;13;14;16;32;34;35;36;39;48;51;53;58;59;62;67;68
1;5;14;21;24;25;27;28;31;34;42;44;49;50;51;52;58;62;67;68
2;4;7;8;11;13;22;23;35;39;40;45;48;49;55;60;63;64;67;69
1;3;4;5;6;8;17;22;26;32;33;38;46;50;51;54;55;59;64;69
5;9;10;14;17;28;29;31;33;34;37;39;45;47;50;55;56;59;61;69
4;5;7;10;13;22;35;36;38;42;43;47;50;51;53;56;57;58;65;66
2;4;7;13;15;17;19;25;26;28;29;33;35;41;42;46;56;58;61;70
2;3;6;8;9;13;18;21;23;30;32;36;37;40;41;47;53;58;61;68
5;6;7;8;12;16;17;22;23;30;32;38;45;48;49;55;58;62;67;68
1;2;8;19;24;25;27;30;31;35;37;39;42;46;47;49;58;62;67;68
1;3;10;13;18;19;20;23;27;29;30;37;39;45;54;56;60;61;65;68
2;5;7;11;14;18;19;22;24;26;30;31;42;43;48;49;53;56;58;70
9;10;11;12;21;23;36;38;40;42;48;50;51;54;56;58;63;64;67;68
2;3;8;10;16;22;23;25;26;28;33;35;40;41;47;48;49;54;62;64
4;8;13;15;19;21;24;26;30;37;38;39;47;49;53;55;56;57;62;64
5;13;14;15;19;20;22;23;27;29;31;32;45;46;47;54;56;59;61;63
1;7;10;12;15;17;19;24;29;30;37;39;48;49;51;52;56;59;65;67
3;12;16;18;20;27;30;31;35;36;39;43;45;50;52;53;58;64;66;70
13;14;17;29;31;33;38;39;40;41;50;51;52;53;54;56;58;61;63;69
4;7;8;10;14;15;16;17;18;26;32;39;42;44;47;49;56;65;66;69
1;2;4;9;15;16;18;23;42;45;46;47;51;53;55;58;62;66;67;69
1;6;13;16;21;25;29;31;44;47;48;52;54;58;60;62;65;68;69;70
6;11;12;17;20;22;23;25;29;30;31;45;48;56;57;59;64;66;69;70
8;19;21;22;23;29;30;32;36;38;42;46;48;53;57;59;63;64;67;70
6;8;12;13;17;19;24;25;26;35;36;39;48;54;55;58;61;65;68;69
1;2;3;5;6;7;12;19;23;29;33;34;44;45;51;55;59;60;67;69
2;4;5;7;9;12;15;23;30;31;36;39;42;43;49;52;61;62;63;65
1;4;10;13;17;25;27;38;39;41;43;48;49;50;53;56;58;61;66;69
1;7;9;11;16;21;26;27;32;37;38;40;42;44;48;50;51;61;62;68
1;2;8;9;13;21;36;41;42;45;47;49;55;56;57;59;61;66;67;68
2;12;13;17;19;25;26;30;34;38;45;48;49;51;54;58;59;61;65;69
2;3;4;5;6;9;12;13;18;20;26;27;30;46;54;56;57;60;61;62
4;5;7;17;18;21;23;24;29;31;32;36;37;40;43;45;46;50;56;60
1;2;5;17;21;29;30;34;35;36;38;40;44;47;49;53;54;56;64;68
7;14;19;23;26;32;34;35;40;41;42;43;46;49;51;53;63;66;67;69
3;9;12;16;19;27;28;29;32;39;54;56;58;60;62;64;66;67;68;69
3;8;12;21;22;24;25;33;37;38;41;43;45;46;50;54;57;60;68;69
11;14;15;16;22;24;26;29;30;31;38;41;46;49;56;57;60;61;66;69
3;5;11;14;17;21;24;30;36;38;39;40;44;46;48;51;59;60;66;69
1;11;12;17;18;25;27;29;30;37;38;41;42;45;51;54;57;61;64;67
1;6;11;15;19;23;25;26;29;35;39;47;48;50;53;58;60;61;63;68
5;6;7;9;12;13;14;28;31;35;38;44;47;49;50;53;56;62;65;68
1;5;6;7;9;13;18;20;25;28;30;31;45;46;47;49;56;59;62;69
2;4;8;14;15;17;19;21;28;29;34;39;41;45;48;51;57;58;60;66
